Date,Canada,Germany,France,UK,Italy,Japan,US
Mar-20,39.9,48.8,65.7,36.6,80.4,41.2,45.8
Apr-20,74.7,76.9,88,79.6,90.9,45.7,72.7
May-20,72.8,63.8,80.1,74.2,73.7,42,72.7
Jun-20,70.3,61.3,66.2,70.9,67.6,27.8,70.7
Jul-20,67.6,56.8,48.1,65.4,67,28,68.3
Aug-20,66.9,57.9,47.4,67.6,66.6,32.7,67.1
Sep-20,64.3,50.5,48.4,65.6,65.8,33.1,64.2
Oct-20,65.1,55.2,50.2,67.9,68,33,64.1
Nov-20,70,62.2,78.3,68.3,81.8,36.7,69.6
Dec-20,72.7,75.5,68.9,72.4,80.9,46.9,71.9
Jan-21,75,83.5,63.9,86.9,76.6,49.4,71.8
Feb-21,75.5,82.9,62.2,87.5,75.9,49.6,68.3
Mar-21,73.2,76.7,66.9,79.7,79.3,44.1,63.6
Apr-21,75.5,75,74,64.5,78.7,45.4,56.9
May-21,75.3,74.8,60.7,61.2,70.5,49.1,51.9
Jun-21,72.9,67.9,51.9,52.9,70.8,53.3,55.2
Jul-21,65.1,67.6,44.5,48.3,62.5,51.1,52.3
Aug-21,62.2,59.7,61.8,44,63.1,51.1,54.3
Sep-21,71,56.5,72.2,42,69,51.6,54.5
Oct-21,69.9,42.2,72.2,43.7,69.1,47.2,56
Nov-21,72.7,54.9,72.2,46.8,71.3,47.2,57.9
Dec-21,67.8,63.9,72.2,47.8,76,47.2,50.9
Jan-22,77.6,59.8,68.5,47.1,76.9,47.2,55.6
Feb-22,74.5,48.2,72.2,35.1,76.5,47.2,58.6
Mar-22,67,48.2,43.7,15.7,63.9,46.6,56.1
Apr-22,47.3,31.5,23.2,13,53.7,45.4,58.8
